ann_no,category,recruitment_status,title,provider,business_type_code,business_type_name,recruit_status_code,recruit_status_name,recruit_type_code,recruit_type_name,apply_period,apply_start,apply_end,selection_announcement,dday,recruit_count,occupation_code,occupation_name,work_condition_code,work_condition_name,career_code,career_name,fee_amount,fee_text,education_start,education_end,education_location,pre_edu_yn,lecturer,term,register_count,waiting_personnel,application_url,source_url,crawled_at
72855859,50플러스센터교육,모집예정,[한국지능정보사회진흥원 연계] 품위 있는 네티즌 되기: 생활 속 AI 윤리교육,강동센터,CENTER_EDUCATION,50플러스센터 교육,PENDING,모집예정,LECTURE,교육회원,2026-05-26~2026-06-10,2026-05-26,2026-06-10,,17,12,55014700,인생설계,FREE_CONFIRM,무료,,,0,0원,2026-06-18,2026-06-25,강동센터,,김형범,2026년 강동 봄학기(3~6월),0,15,https://www.50plus.or.kr/education-detail.do?id=72855859&viewCount=12&educationKind=centerEducation,https://www.50plus.or.kr/education-detail.do?id=72855859&viewCount=12&educationKind=centerEducation,2026-05-24T14:51:05
72855766,50플러스센터교육,모집예정,[한국지능정보사회진흥원 연계] 나도 이제 스마트 사진 작가,강동센터,CENTER_EDUCATION,50플러스센터 교육,PENDING,모집예정,LECTURE,교육회원,2026-05-26~2026-05-31,2026-05-26,2026-05-31,,7,12,55014700,인생설계,FREE_CONFIRM,무료,,,0,0원,2026-06-04,2026-06-25,강동센터,,김형범,2026년 강동 봄학기(3~6월),0,12,https://www.50plus.or.kr/education-detail.do?id=72855766&viewCount=12&educationKind=centerEducation,https://www.50plus.or.kr/education-detail.do?id=72855766&viewCount=12&educationKind=centerEducation,2026-05-24T14:51:05
72854429,50플러스센터교육,모집예정,[정신건강복지센터 연계]중장년 마음 돌봄 클래스: 연결과 희망의 시간 (마음 건강·스트레스 관리),강동센터,CENTER_EDUCATION,50플러스센터 교육,PENDING,모집예정,LECTURE,교육회원,2026-05-26~2026-06-05,2026-05-26,2026-06-05,,12,20,55014700,인생설계,FREE_CONFIRM,무료,,,0,0원,2026-06-11,2026-06-11,강동센터,,고진선,2026년 강동 봄학기(3~6월),0,20,https://www.50plus.or.kr/education-detail.do?id=72854429&viewCount=12&educationKind=centerEducation,https://www.50plus.or.kr/education-detail.do?id=72854429&viewCount=12&educationKind=centerEducation,2026-05-24T14:51:05
73181330,50플러스센터교육,모집예정,<2기> 중장년 1인 가구 '나와 우리들의 행복한 밥상' [평일 주간반],관악센터,CENTER_EDUCATION,50플러스센터 교육,PENDING,모집예정,LECTURE,교육회원,2026-05-26~2026-06-02,2026-05-26,2026-06-02,,9,8,73138862,공모사업,FREE_CONFIRM,무료,,,0,0원,2026-06-09,2026-06-30,관악센터,,장덕아,2026년 관악 2학기,0,8,https://www.50plus.or.kr/education-detail.do?id=73181330&viewCount=12&educationKind=centerEducation,https://www.50plus.or.kr/education-detail.do?id=73181330&viewCount=12&educationKind=centerEducation,2026-05-24T14:51:05
73105599,50플러스센터교육,모집예정,[창업] 세븐일레븐_편의점 창업의 이해 및 프랜차이즈 AtoZ,용산센터,CENTER_EDUCATION,50플러스센터 교육,PENDING,모집예정,LECTURE,교육회원,2026-05-26~2026-06-24,2026-05-26,2026-06-24,,31,30,72751743,일활동지원,FREE_CONFIRM,무료,,,0,0원,2026-06-25,2026-06-25,용산센터,,김민우,2026년 용산 2분기(6월~8월),0,10,https://www.50plus.or.kr/education-detail.do?id=73105599&viewCount=12&educationKind=centerEducation,https://www.50plus.or.kr/education-detail.do?id=73105599&viewCount=12&educationKind=centerEducation,2026-05-24T14:51:05
73087815,50플러스센터교육,모집예정,[창업] CU_프랜차이즈 A to Z 편의점 창업에 대한 이해,용산센터,CENTER_EDUCATION,50플러스센터 교육,PENDING,모집예정,LECTURE,교육회원,2026-05-26~2026-06-17,2026-05-26,2026-06-17,,24,30,72751743,일활동지원,FREE_CONFIRM,무료,,,0,0원,2026-06-18,2026-06-18,용산센터,,이동성,2026년 용산 2분기(6월~8월),0,10,https://www.50plus.or.kr/education-detail.do?id=73087815&viewCount=12&educationKind=centerEducation,https://www.50plus.or.kr/education-detail.do?id=73087815&viewCount=12&educationKind=centerEducation,2026-05-24T14:51:05
73047307,50플러스센터교육,모집예정,[재무] 토스뱅크X경찰청과 함께하는 금융사기 예방 실전,용산센터,CENTER_EDUCATION,50플러스센터 교육,PENDING,모집예정,LECTURE,교육회원,2026-05-26~2026-06-08,2026-05-26,2026-06-08,,15,20,72751741,인생설계,FREE_CONFIRM,무료,,,0,0원,2026-06-09,2026-06-30,용산센터,,경찰청 소속 퇴직경찰관,2026년 용산 2분기(6월~8월),0,10,https://www.50plus.or.kr/education-detail.do?id=73047307&viewCount=12&educationKind=centerEducation,https://www.50plus.or.kr/education-detail.do?id=73047307&viewCount=12&educationKind=centerEducation,2026-05-24T14:51:05
73039657,50플러스센터교육,모집예정,[양성과정] 토퍼 공예 셀러 양성 과정,용산센터,CENTER_EDUCATION,50플러스센터 교육,PENDING,모집예정,LECTURE,교육회원,2026-05-26~2026-07-24,2026-05-26,2026-07-24,,61,15,72751743,일활동지원,CHARGED_CONFIRM,유료,,,40000,40000원,2026-07-25,2026-08-29,용산센터,,고문경,2026년 용산 2분기(6월~8월),0,10,https://www.50plus.or.kr/education-detail.do?id=73039657&viewCount=12&educationKind=centerEducation,https://www.50plus.or.kr/education-detail.do?id=73039657&viewCount=12&educationKind=centerEducation,2026-05-24T14:51:05
73038726,50플러스센터교육,모집예정,[양성과정] 니팅 공예 셀러 양성과정,용산센터,CENTER_EDUCATION,50플러스센터 교육,PENDING,모집예정,LECTURE,교육회원,2026-05-26~2026-06-12,2026-05-26,2026-06-12,,19,15,72751743,일활동지원,CHARGED_CONFIRM,유료,,,40000,40000원,2026-06-13,2026-07-18,용산센터,,임안나,2026년 용산 2분기(6월~8월),0,10,https://www.50plus.or.kr/education-detail.do?id=73038726&viewCount=12&educationKind=centerEducation,https://www.50plus.or.kr/education-detail.do?id=73038726&viewCount=12&educationKind=centerEducation,2026-05-24T14:51:05
73034017,50플러스센터교육,모집예정,[양성과정] 로컬 여행 큐레이터 양성과정,용산센터,CENTER_EDUCATION,50플러스센터 교육,PENDING,모집예정,LECTURE,교육회원,2026-05-26~2026-06-15,2026-05-26,2026-06-15,,22,12,72751743,일활동지원,CHARGED_CONFIRM,유료,,,40000,40000원,2026-06-16,2026-08-04,용산센터,,문정순,2026년 용산 2분기(6월~8월),0,10,https://www.50plus.or.kr/education-detail.do?id=73034017&viewCount=12&educationKind=centerEducation,https://www.50plus.or.kr/education-detail.do?id=73034017&viewCount=12&educationKind=centerEducation,2026-05-24T14:51:05
