ann_no,category,recruitment_status,title,provider,business_type_code,business_type_name,recruit_status_code,recruit_status_name,recruit_type_code,recruit_type_name,apply_period,apply_start,apply_end,selection_announcement,dday,recruit_count,occupation_code,occupation_name,work_condition_code,work_condition_name,career_code,career_name,fee_amount,fee_text,education_start,education_end,education_location,pre_edu_yn,lecturer,term,register_count,waiting_personnel,application_url,source_url,crawled_at
72855675,50플러스센터교육,모집중,"(오후) 뜨개질보다 쉽고, 더 예쁜 '양말목 공예' 원데이 무료 클래스",강서센터,CENTER_EDUCATION,50플러스센터교육,WAITING,모집중,LECTURE,교육회원,2026-05-14~2026-06-22,2026-05-14,2026-06-22,,26,10,69059651,일활동지원,FREE,무료,,,0,0원,2026-06-25,2026-06-25,강서센터,,박수진,2026년 강서 1학기,10,10,https://www.50plus.or.kr/education-detail.do?id=72855675&viewCount=12&educationKind=centerEducation,https://www.50plus.or.kr/education-detail.do?id=72855675&viewCount=12&educationKind=centerEducation,2026-05-27T15:11:07
72855322,50플러스센터교육,모집중,"(오전) 뜨개질보다 쉽고, 더 예쁜 양말목 공예 원데이 무료 클래스",강서센터,CENTER_EDUCATION,50플러스센터교육,WAITING,모집중,LECTURE,교육회원,2026-05-14~2026-06-22,2026-05-14,2026-06-22,,26,10,69059651,일활동지원,FREE,무료,,,0,0원,2026-06-25,2026-06-25,강서센터,,박수진,2026년 강서 1학기,10,10,https://www.50plus.or.kr/education-detail.do?id=72855322&viewCount=12&educationKind=centerEducation,https://www.50plus.or.kr/education-detail.do?id=72855322&viewCount=12&educationKind=centerEducation,2026-05-27T15:11:07
71564986,50플러스센터교육,모집중,[시니어 클래스] 자화상으로 본 서양미술사,강서센터,CENTER_EDUCATION,50플러스센터교육,WAITING,모집중,LECTURE,교육회원,2026-04-20~2026-07-07,2026-04-20,2026-07-07,,41,20,69059668,인생설계,CHARGED,유료,,,20000,20000원,2026-07-08,2026-07-29,강서센터,,유승연,2026년 강서 1학기,19,15,https://www.50plus.or.kr/education-detail.do?id=71564986&viewCount=12&educationKind=centerEducation,https://www.50plus.or.kr/education-detail.do?id=71564986&viewCount=12&educationKind=centerEducation,2026-05-27T15:11:07
72856143,50플러스센터교육,모집중,"[한국지능정보사회진흥원 연계] 디지털 환경에서 관계 맺기((카카오단톡방, 카페, 밴드, SNS 등)",강동센터,CENTER_EDUCATION,50플러스센터교육,OPEN,모집중,LECTURE,교육회원,2026-05-26~2026-05-31,2026-05-26,2026-05-31,,4,12,55014700,인생설계,FREE_CONFIRM,무료,,,0,0원,2026-06-04,2026-06-11,강동센터,,김형범,2026년 강동 봄학기(3~6월),0,15,https://www.50plus.or.kr/education-detail.do?id=72856143&viewCount=12&educationKind=centerEducation,https://www.50plus.or.kr/education-detail.do?id=72856143&viewCount=12&educationKind=centerEducation,2026-05-27T15:11:07
72855859,50플러스센터교육,모집중,[한국지능정보사회진흥원 연계]생활 속  AI 이해와 활용: 품위 있는 네티즌 되기,강동센터,CENTER_EDUCATION,50플러스센터교육,OPEN,모집중,LECTURE,교육회원,2026-05-26~2026-06-10,2026-05-26,2026-06-10,,14,12,55014700,인생설계,FREE_CONFIRM,무료,,,0,0원,2026-06-18,2026-06-25,강동센터,,김형범,2026년 강동 봄학기(3~6월),0,15,https://www.50plus.or.kr/education-detail.do?id=72855859&viewCount=12&educationKind=centerEducation,https://www.50plus.or.kr/education-detail.do?id=72855859&viewCount=12&educationKind=centerEducation,2026-05-27T15:11:07
72854429,50플러스센터교육,모집중,[정신건강복지센터 연계]중장년 마음 돌봄 클래스: 연결과 희망의 시간 (마음 건강·스트레스 관리),강동센터,CENTER_EDUCATION,50플러스센터교육,OPEN,모집중,LECTURE,교육회원,2026-05-26~2026-06-05,2026-05-26,2026-06-05,,9,20,55014700,인생설계,FREE_CONFIRM,무료,,,0,0원,2026-06-11,2026-06-11,강동센터,,고진선,2026년 강동 봄학기(3~6월),0,20,https://www.50plus.or.kr/education-detail.do?id=72854429&viewCount=12&educationKind=centerEducation,https://www.50plus.or.kr/education-detail.do?id=72854429&viewCount=12&educationKind=centerEducation,2026-05-27T15:11:07
72729809,50플러스센터교육,모집중,"[한양여대RISE지원사업] 병원동행매니저 자격증 취득과정(목,금 10:00-11:50)",성동센터,CENTER_EDUCATION,50플러스센터교육,WAITING,모집중,LECTURE,교육회원,2026-05-13~2026-06-10,2026-05-13,2026-06-10,,14,20,69099966,일활동사업,FREE_CONFIRM,무료,,,0,0원,2026-06-11,2026-07-03,성동센터,,조준아,2026년 성동봄학기(5월~6월),20,10,https://www.50plus.or.kr/education-detail.do?id=72729809&viewCount=12&educationKind=centerEducation,https://www.50plus.or.kr/education-detail.do?id=72729809&viewCount=12&educationKind=centerEducation,2026-05-27T15:11:07
72705025,50플러스센터교육,모집중,"성동구민 우대)성동구의 어제와 오늘을 걷다(수, 10:00-11:50)",성동센터,CENTER_EDUCATION,50플러스센터교육,OPEN,모집중,LECTURE,교육회원,2026-05-15~2026-05-29,2026-05-15,2026-05-29,,2,14,69099942,노후지원사업,FREE_CONFIRM,무료,,,0,0원,2026-06-10,2026-07-01,성동센터,,성동학개론 강사단,2026년 성동봄학기(5월~6월),8,5,https://www.50plus.or.kr/education-detail.do?id=72705025&viewCount=12&educationKind=centerEducation,https://www.50plus.or.kr/education-detail.do?id=72705025&viewCount=12&educationKind=centerEducation,2026-05-27T15:11:07
73047873,50플러스센터교육,모집중,[직업역량강화교육]인스타그램으로 부수입 벌기 도전 '온라인 쇼핑 커넥트 마케터 과정(네이버 브랜드 커넥트)',서초센터,CENTER_EDUCATION,50플러스센터교육,OPEN,모집중,LECTURE,교육회원,2026-05-20~2026-06-07,2026-05-20,2026-06-07,,11,13,69872021,일활동지원사업,CHARGED_CONFIRM,유료,,,30000,30000원,2026-06-09,2026-06-24,서초센터,,권소영,2026년 서초 1학기,5,5,https://www.50plus.or.kr/education-detail.do?id=73047873&viewCount=12&educationKind=centerEducation,https://www.50plus.or.kr/education-detail.do?id=73047873&viewCount=12&educationKind=centerEducation,2026-05-27T15:11:07
73047604,50플러스센터교육,모집중,[직업역량강화교육]은퇴 준비를 위한 온라인 쇼핑몰의 모든 것 '온라인 쇼핑몰(스마트스토어/쿠팡)수익화 과정',서초센터,CENTER_EDUCATION,50플러스센터교육,OPEN,모집중,LECTURE,교육회원,2026-05-20~2026-06-07,2026-05-20,2026-06-07,,11,13,69872021,일활동지원사업,CHARGED_CONFIRM,유료,,,30000,30000원,2026-06-09,2026-06-26,서초센터,,이정훈,2026년 서초 1학기,5,5,https://www.50plus.or.kr/education-detail.do?id=73047604&viewCount=12&educationKind=centerEducation,https://www.50plus.or.kr/education-detail.do?id=73047604&viewCount=12&educationKind=centerEducation,2026-05-27T15:11:07
73045264,50플러스센터교육,모집중,[재무] 세금전문가와 함께하는 상속증여세와 절세 Tip,서초센터,CENTER_EDUCATION,50플러스센터교육,WAITING,모집중,LECTURE,교육회원,2026-05-20~2026-06-03,2026-05-20,2026-06-03,,7,20,69871996,인생설계,CHARGED,유료,,,20000,20000원,2026-06-04,2026-06-25,서초센터,,신관식,2026년 서초 1학기,20,15,https://www.50plus.or.kr/education-detail.do?id=73045264&viewCount=12&educationKind=centerEducation,https://www.50plus.or.kr/education-detail.do?id=73045264&viewCount=12&educationKind=centerEducation,2026-05-27T15:11:07
73042576,50플러스센터교육,모집중,[AI아카데미] VREW4.0으로 배우는 AI 영상 제작하기,서초센터,CENTER_EDUCATION,50플러스센터교육,OPEN,모집중,LECTURE,교육회원,2026-05-20~2026-06-05,2026-05-20,2026-06-05,,9,13,69871996,인생설계,CHARGED,유료,,,30000,30000원,2026-06-08,2026-06-29,서초센터,,전은정,2026년 서초 1학기,12,5,https://www.50plus.or.kr/education-detail.do?id=73042576&viewCount=12&educationKind=centerEducation,https://www.50plus.or.kr/education-detail.do?id=73042576&viewCount=12&educationKind=centerEducation,2026-05-27T15:11:07
